Orthologue Group ID	ProteinID
OG0000000	LCP85-384_k25_TRINITY_DN301_c0_g1_i6
OG0000000	LCP85-384_k25_TRINITY_DN36117_c0_g1_i2
OG0000000	LCP85-384_k25_TRINITY_DN36117_c0_g1_i5
OG0000000	LCP85-384_k25_TRINITY_DN37525_c0_g1_i2
OG0000000	LCP85-384_k25_TRINITY_DN4002_c0_g2_i1
OG0000000	LCP85-384_k25_TRINITY_DN56432_c0_g1_i1
OG0000000	LCP85-384_k25_TRINITY_DN60401_c0_g1_i1
OG0000000	LCP85-384_k25_TRINITY_DN67138_c0_g1_i6
OG0000000	LCP85-384_k25_TRINITY_DN67681_c0_g1_i1
OG0000000	LCP85-384_k25_TRINITY_DN78826_c0_g1_i8
OG0000000	LCP85-384_k25_TRINITY_DN80697_c0_g2_i2
OG0000000	LCP85-384_k25_TRINITY_DN80697_c0_g2_i3
OG0000000	LCP85-384_k25_TRINITY_DN80697_c0_g2_i5
OG0000000	LCP85-384_k25_TRINITY_DN8716_c0_g1_i4
OG0000000	LCP85-384_k25_TRINITY_DN8716_c0_g1_i7
OG0000000	LCP85-384_k25_TRINITY_DN9037_c0_g1_i3
OG0000000	LCP85-384_k31_TRINITY_DN108109_c0_g1_i1
OG0000000	LCP85-384_k31_TRINITY_DN111896_c0_g1_i1
OG0000000	LCP85-384_k31_TRINITY_DN111896_c1_g1_i1
OG0000000	LCP85-384_k31_TRINITY_DN1419_c0_g1_i12
OG0000000	LCP85-384_k31_TRINITY_DN1419_c0_g1_i5
OG0000000	LCP85-384_k31_TRINITY_DN1419_c0_g1_i7
OG0000000	LCP85-384_k31_TRINITY_DN1419_c0_g1_i8
OG0000000	LCP85-384_k31_TRINITY_DN153466_c1_g2_i2
OG0000000	LCP85-384_k31_TRINITY_DN22303_c0_g1_i1
OG0000000	LCP85-384_k31_TRINITY_DN22303_c0_g1_i3
OG0000000	LCP85-384_k31_TRINITY_DN22303_c0_g1_i4
OG0000000	LCP85-384_k31_TRINITY_DN22303_c1_g1_i8
OG0000000	LCP85-384_k31_TRINITY_DN22303_c1_g1_i9
OG0000000	LCP85-384_k31_TRINITY_DN25533_c1_g1_i2
OG0000000	LCP85-384_k31_TRINITY_DN25533_c1_g1_i5
OG0000000	LCP85-384_k31_TRINITY_DN25848_c0_g1_i10
OG0000000	LCP85-384_k31_TRINITY_DN25848_c0_g1_i14
OG0000000	LCP85-384_k31_TRINITY_DN25848_c0_g1_i16
OG0000000	LCP85-384_k31_TRINITY_DN25848_c0_g1_i7
OG0000000	LCP85-384_k31_TRINITY_DN35520_c1_g1_i5
OG0000000	LCP85-384_k31_TRINITY_DN35520_c1_g1_i6
OG0000000	LCP85-384_k31_TRINITY_DN36764_c0_g1_i3
OG0000000	LCP85-384_k31_TRINITY_DN43760_c0_g1_i4
OG0000000	LCP85-384_k31_TRINITY_DN44248_c0_g1_i2
OG0000000	LCP85-384_k31_TRINITY_DN46592_c1_g1_i3
OG0000000	LCP85-384_k31_TRINITY_DN4840_c0_g1_i10
